time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
14.221000,-0.042403,-0.074823,-0.033539,0.092311,0.040284,-0.066224,-0.314717,-inf,-855.868774,-inf,inf
14.445000,-0.026242,0.032922,-0.097587,0.106282,-0.196231,0.063477,-0.024796,nan,-856.346680,nan,-nan
14.578000,-0.132191,-0.049682,-0.056285,0.152022,0.101320,-0.020447,-0.108721,nan,-856.346680,nan,-nan
14.712000,-0.058565,-0.022147,-0.050299,0.080314,-0.036011,0.063477,0.089647,nan,-856.346680,nan,-nan
14.846000,-0.097473,-0.023345,-0.093397,0.137000,0.055543,-0.028077,-0.024796,-inf,-854.315430,-inf,inf
14.980000,-0.059164,-0.026338,-0.073045,0.097620,-0.028382,0.002441,0.082017,nan,-856.346680,nan,-nan
15.113000,-0.049586,0.005387,-0.113749,0.124204,0.261540,-0.012818,0.074388,nan,-856.346680,nan,-nan
15.340000,0.223965,1.361772,-0.138291,1.386978,0.215763,0.330510,18.446249,-inf,-664.935547,-inf,inf
15.474000,-0.014869,-0.084400,-0.026356,0.089661,0.055543,-0.142519,-0.154498,-inf,-651.971680,-inf,inf
15.609000,-0.010679,-0.054471,-0.075440,0.093660,0.025025,0.040589,0.074388,-inf,-652.628845,-inf,inf
15.743000,-0.034622,-0.044295,-0.094594,0.110040,0.131838,-0.127260,-0.085832,-inf,-650.956055,-inf,inf
15.876000,-0.035220,-0.102357,-0.054489,0.121188,-0.127565,0.002441,0.082017,-inf,-648.446960,-inf,inf
16.010000,-0.043002,-0.035316,-0.102376,0.116521,0.009766,-0.073854,-0.001907,-inf,-648.446960,-inf,inf
16.143999,-0.025045,-0.113132,-0.042518,0.123425,0.017395,-0.050965,-0.024796,-inf,-648.566406,-inf,inf
16.368999,-0.013073,-0.117322,-0.056285,0.130780,-0.020752,-0.005188,-0.139239,-inf,-648.506714,-inf,inf
16.503000,0.001293,-0.081407,-0.092200,0.123003,0.040284,-0.035706,-0.139239,-inf,-648.327454,-inf,inf
16.636999,0.001892,-0.073625,-0.061672,0.096061,-0.043641,0.055848,-0.047684,-inf,-648.267700,-inf,inf
16.770000,-0.026840,-0.065245,-0.028152,0.075960,0.025025,0.032959,-0.032425,-inf,-648.028748,-inf,inf
16.903999,-0.061558,-0.151441,-0.130509,0.209180,-0.036011,0.025330,-0.253681,-inf,-647.909302,-inf,inf
17.038000,0.151537,0.220278,-0.218501,0.345294,0.177615,-0.195926,0.272755,-inf,-647.610596,-inf,inf
17.263000,-0.177084,-0.326825,0.113113,0.388546,-0.394598,0.444953,0.722896,-inf,-647.849548,-inf,inf
17.396999,-0.110043,-0.115526,-0.102975,0.189893,-0.310674,0.498360,0.432975,-inf,-647.849548,-inf,inf
17.531000,0.369420,0.116125,-0.274767,0.474819,0.276799,-0.073854,-0.352865,-inf,-647.849548,-inf,inf
17.665001,-0.129198,-0.401049,0.208886,0.470283,0.292058,0.040589,0.272755,-inf,-647.550842,-inf,inf
17.799000,0.151537,0.104153,-0.054489,0.191782,-0.234379,0.132143,0.310903,-inf,-643.070251,-inf,inf
17.933001,0.016258,-0.204715,-0.001814,0.205367,0.505684,-0.241703,-0.192645,-inf,-601.968201,-inf,inf
18.159000,0.053370,0.011972,-0.025159,0.060205,0.086061,0.002441,-0.391012,-inf,-598.204529,-inf,inf
18.292999,-0.006489,-0.165208,-0.065863,0.177971,-0.020752,0.071107,-0.062943,-inf,-598.562988,-inf,inf
18.427000,-0.265076,-0.152638,-0.249627,0.394813,0.139467,-0.028077,0.097276,-inf,-598.204529,-inf,inf
18.559999,0.123404,0.001796,-0.185579,0.222870,-0.325933,0.208438,-0.001907,-inf,-510.444550,-inf,inf
18.694000,-0.138176,-0.125702,-0.052694,0.194088,0.185245,-0.058595,-0.162127,-inf,-508.652313,-inf,inf
18.827999,0.043194,-0.083203,-0.034736,0.099975,-0.043641,0.055848,0.143053,-inf,-508.234100,-inf,inf
19.049999,-0.074128,-0.141864,-0.056884,0.169871,-0.005493,0.086366,0.242237,-inf,-506.800293,-inf,inf
19.184000,-0.011277,-0.049682,-0.120932,0.131225,0.017395,0.010071,0.043870,-inf,-505.545746,-inf,inf
19.316999,-0.080713,-0.122111,-0.076038,0.164946,0.040284,0.048218,-0.123980,-inf,-502.020996,-inf,inf
19.452000,-0.115430,-0.041901,-0.092799,0.153920,-0.013123,-0.043336,0.135424,-inf,-500.885925,-inf,inf
19.586000,-0.025045,-0.084400,-0.062271,0.107834,0.032654,0.025330,0.120165,-inf,-491.626038,-inf,inf
19.719999,-0.034622,-0.079013,-0.074841,0.114205,-0.081788,-0.043336,0.028611,-inf,-489.594818,-inf,inf
19.944000,-0.015467,-0.108942,-0.092799,0.143941,-0.005493,-0.028077,0.066758,-inf,-488.579224,-inf,inf
20.077999,-0.018460,-0.069435,-0.088609,0.114077,-0.013123,-0.035706,-0.032425,-inf,-488.818207,-inf,inf
20.212000,-0.015467,-0.084998,-0.041919,0.096027,0.078431,0.032959,-0.001907,-inf,-488.459717,-inf,inf
20.346001,-0.034622,-0.083203,-0.064665,0.110919,-0.005493,-0.012818,0.059129,-inf,-488.220795,-inf,inf
20.481001,-0.013073,-0.093379,-0.001216,0.094297,0.017395,0.002441,0.066758,-inf,-488.101288,-inf,inf
20.615000,0.007877,-0.079611,-0.010194,0.080647,-0.074159,0.017700,0.013352,-inf,-488.459717,-inf,inf
20.749001,-0.554190,-0.372916,-0.431595,0.795278,0.025025,0.063477,0.043870,-inf,-487.862305,-inf,inf
20.975000,-0.098071,-0.217285,0.011354,0.238662,0.253910,-0.165408,-0.268940,-inf,-487.384399,-inf,inf
21.108999,0.279035,0.036513,-0.324449,0.429489,-0.631113,0.711986,-0.009537,-inf,-487.145447,-inf,inf
21.243000,-0.371623,-0.181969,0.080191,0.421482,0.406500,-0.592660,-0.406271,-inf,-474.002319,-inf,inf
21.377001,0.030025,-0.140667,0.001179,0.143840,-0.425116,0.559396,0.455863,-inf,-446.282410,-inf,inf
21.511000,-0.227365,0.019753,0.089769,0.245241,0.536202,-0.508736,-0.131609,-inf,-445.505737,-inf,inf
21.645000,-0.014270,-0.262777,-0.052694,0.268388,-0.173342,0.200809,0.295644,-inf,-444.609619,-inf,inf
